debitur_id,skor_kredit_internal,subsegmen_properti,wilayah_agunan,nilai_agunan_awal,nilai_agunan_kini,plafon_pinjaman,ltv_awal,ltv_kini,tenor_bulan,pendapatan_bulanan,dti_ratio,jumlah_tanggungan,status_pekerjaan,jumlah_tunggakan_historis,utilisasi_kartu_kredit,metode_pembayaran,usia_bangunan_tahun,jenis_sertifikat,status_risiko,flag_gagal_bayar,y_pred_proba (sigmoid),"y_pred (dibulatkan, threshold=0.5)",cluster,flag_skor_kredit,flag_utilisasi,flag_pendapatan
PBI-000031,690,Ruko-Komersial,Tangerang (BSD/Serpong),2287000000,1863000000.0,1930000000,0.843900306,1.0359635,180,33300000.0,0.321988655,2,Profesional,0,35.9,Auto-Debit,3.0,SHM,Lancar,0,0.36040138044886016,0,0,0,0,0
PBI-000032,551,Apartemen,Jakarta Selatan,1414000000,1406000000.0,1106000000,0.782178218,0.786628734,60,,#DIV/0!,2,Karyawan Tetap,3,60.9,Transfer Manual,2.0,SHM,DPK,0,0.6758251792709763,1,0,1,1,1
PBI-000033,646,Ruko-Komersial,Jakarta Selatan,1747000000,1665000000.0,1375000000,0.787063537,0.825825826,180,,#DIV/0!,2,Karyawan Tetap,1,4.4,Auto-Debit,9.0,SHM,Lancar,0,0.339108811383518,0,0,1,0,1
PBI-000034,801,Ruko-Komersial,Bogor,884000000,877000000.0,720000000,0.814479638,0.820980616,120,41400000.0,0.144927536,1,Wiraswasta,0,53.3,Transfer Manual,19.0,HGB,Lancar,0,0.14491737963003665,0,1,0,1,0
PBI-000035,660,Ruko-Komersial,Bogor,2215000000,2134000000.0,1690000000,0.762979684,0.791940019,240,28800000.0,0.244502315,2,Profesional,3,8.5,Auto-Debit,13.0,SHM,Lancar,0,0.4059567857287584,0,0,0,0,0
PBI-000036,739,Apartemen,Depok,614000000,599000000.0,465000000,0.75732899,0.776293823,240,20500000.0,0.094512195,2,Karyawan Tetap,2,32.7,Auto-Debit,24.0,SHM,Lancar,0,0.29716535253658427,0,0,0,0,1
PBI-000037,658,Ruko-Komersial,Bekasi,2015000000,1670000000.0,1589000000,0.788585608,0.951497006,240,13200000.0,0.501578283,2,Karyawan Tetap,0,69.0,Auto-Debit,18.0,SHM,Lancar,0,0.4150135294231671,0,0,1,1,1
PBI-000038,650,Rumah Tapak,Jakarta Selatan,1000000000,961000000.0,817000000,0.817,0.850156087,180,12200000.0,0.372040073,2,Wiraswasta,3,36.7,Auto-Debit,21.0,SHM,Lancar,0,0.5385766803669861,1,0,1,0,1
PBI-000039,709,Ruko-Komersial,Depok,2028000000,1936000000.0,1614000000,0.795857988,0.833677686,120,41300000.0,0.32566586,2,Wiraswasta,1,18.5,Transfer Manual,4.0,SHM,Lancar,0,0.2940042658935778,0,0,0,0,0
PBI-000040,412,Apartemen,Bekasi,1426000000,1186000000.0,1038000000,0.727910238,0.875210793,84,23400000.0,0.528083028,2,Karyawan Tetap,2,76.2,Virtual Account,15.0,SHM,Menunggak,1,0.859277477876235,1,0,1,1,1
PBI-000041,692,Apartemen,Jakarta Selatan,934000000,931000000.0,710000000,0.760171306,0.762620838,180,17200000.0,0.229328165,2,Wiraswasta,1,67.4,Transfer Manual,15.0,SHM,Lancar,0,0.3522032043156556,0,0,0,1,1
PBI-000042,469,Rumah Tapak,Tangerang (BSD/Serpong),545000000,394000000.0,423000000,0.776146789,1.073604061,84,41800000.0,0.120471634,2,Profesional,0,81.4,Auto-Debit,2.0,HGB,Menunggak,1,0.7727954474950938,1,1,1,1,0
PBI-000043,653,Apartemen,Jakarta Selatan,1039000000,1013000000.0,809000000,0.778633301,0.798617966,60,29300000.0,0.460182025,2,Profesional,0,13.9,Auto-Debit,20.0,SHM,Lancar,0,0.21725599188094846,0,0,1,0,0
PBI-000044,589,Rumah Tapak,Bogor,923000000,892000000.0,693000000,0.750812568,0.77690583,180,28000000.0,0.1375,2,Karyawan Tetap,2,0.4,Auto-Debit,17.0,SHM,Lancar,0,0.43148652952217614,0,0,1,0,0
PBI-000045,562,Tanah Kavling,Bekasi,767000000,601000000.0,597000000,0.778357236,0.993344426,120,10400000.0,0.478365385,3,Karyawan Tetap,2,82.8,Auto-Debit,26.0,SHM,Menunggak,1,0.7896817269641554,1,0,1,1,1
PBI-000046,786,Rumah Tapak,Depok,1111000000,1088000000.0,890000000,0.801080108,0.818014706,240,14500000.0,0.255747126,0,Karyawan Tetap,4,12.6,Virtual Account,13.0,SHM,Lancar,0,0.28693425469200223,0,0,0,0,1
PBI-000047,755,Ruko-Komersial,Bekasi,2431000000,1957000000.0,1872000000,0.770053476,0.956566173,180,22400000.0,0.464285714,1,Karyawan Tetap,2,44.8,Auto-Debit,4.0,SHM,DPK,0,0.4337636699059296,0,0,0,0,1
PBI-000048,630,Apartemen,Tangerang (BSD/Serpong),1400000000,,1075000000,0.767857143,#DIV/0!,180,28600000.0,0.208818959,2,Karyawan Tetap,0,42.1,Virtual Account,23.0,HGB,DPK,0,0.6187259414683993,1,1,1,0,0
PBI-000049,850,Apartemen,Tangerang (BSD/Serpong),799000000,,655000000,0.819774718,#DIV/0!,180,32000000.0,0.113715278,4,Wiraswasta,1,28.5,Transfer Manual,5.0,SHM,Lancar,0,0.14444994176065593,0,0,0,0,0
PBI-000050,744,Apartemen,Jakarta Selatan,1488000000,1435000000.0,1211000000,0.813844086,0.843902439,120,31700000.0,0.318349106,0,Karyawan Tetap,0,14.3,Transfer Manual,,HGB,Lancar,0,0.15637729438262918,0,1,0,0,0
PBI-000051,647,Apartemen,Bogor,565000000,549000000.0,431000000,0.762831858,0.785063752,240,,#DIV/0!,2,Profesional,1,35.9,Virtual Account,13.0,HGB,Lancar,0,0.376591021766479,0,1,1,0,1
PBI-000052,500,Tanah Kavling,Depok,686000000,657000000.0,583000000,0.849854227,0.887366819,84,18000000.0,0.385582011,1,Profesional,0,68.2,Auto-Debit,23.0,HGB,DPK,0,0.6017053150097912,1,1,1,1,1
PBI-000053,652,Apartemen,Bogor,438000000,418000000.0,311000000,0.710045662,0.744019139,240,30900000.0,0.041936354,0,Karyawan Tetap,5,30.7,Auto-Debit,10.0,HGB,Lancar,0,0.479265159652135,0,1,1,0,0
PBI-000054,606,Rumah Tapak,Bogor,777000000,,582000000,0.749034749,#DIV/0!,240,18300000.0,0.132513661,4,Profesional,0,14.2,Virtual Account,29.0,SHM,Lancar,0,0.14138576034565137,0,0,1,0,1
PBI-000055,621,Rumah Tapak,Tangerang (BSD/Serpong),1324000000,1006000000.0,934000000,0.705438066,0.928429423,60,35900000.0,0.433611885,4,Wiraswasta,3,47.2,Transfer Manual,10.0,SHM,DPK,0,0.6613751380650854,1,0,1,1,0
PBI-000056,695,Tanah Kavling,Bogor,328000000,323000000.0,271000000,0.826219512,0.839009288,180,46000000.0,0.032729469,1,Wiraswasta,2,0.0,Auto-Debit,,HGB,Lancar,0,0.3286267022855236,0,1,0,0,0
PBI-000057,607,Apartemen,Jakarta Selatan,512000000,503000000.0,416000000,0.8125,0.827037773,180,12800000.0,0.180555556,4,Karyawan Tetap,0,52.5,Auto-Debit,7.0,SHM,Lancar,0,0.36463139798532357,0,0,1,1,1
PBI-000058,772,Apartemen,Jakarta Selatan,720000000,697000000.0,578000000,0.802777778,0.829268293,240,33100000.0,0.072759315,2,Wiraswasta,3,60.3,Transfer Manual,28.0,SHM,Lancar,0,0.3818892772895094,0,0,0,1,0
PBI-000059,615,Apartemen,Jakarta Selatan,1033000000,996000000.0,756000000,0.731848984,0.759036145,120,11500000.0,0.547826087,0,Karyawan Tetap,6,33.5,Auto-Debit,3.0,SHM,Lancar,0,0.5736522414981811,1,0,1,0,1
PBI-000060,573,Rumah Tapak,Bekasi,521000000,,420000000,0.806142035,#DIV/0!,180,24900000.0,0.093708166,1,Wiraswasta,0,65.2,Virtual Account,30.0,SHM,DPK,0,0.18965275385065905,0,0,1,1,1
PBI-000061,715,Apartemen,Bekasi,931000000,652000000.0,701000000,0.752953813,1.075153374,180,29700000.0,0.131126076,3,Karyawan Tetap,3,43.0,Auto-Debit,27.0,SHM,Menunggak,1,0.6128819677616253,1,0,0,0,0
PBI-000062,658,Tanah Kavling,Bekasi,675000000,563000000.0,560000000,0.82962963,0.994671403,84,21000000.0,0.317460317,1,Wiraswasta,3,38.3,Transfer Manual,30.0,HGB,DPK,0,0.6363300712895591,1,1,1,0,1
PBI-000063,733,Rumah Tapak,Depok,1023000000,992000000.0,747000000,0.730205279,0.753024194,240,17200000.0,0.180959302,2,Karyawan Tetap,3,19.2,Transfer Manual,28.0,SHM,Lancar,0,0.29605984990832085,0,0,0,0,1
PBI-000064,675,Rumah Tapak,Bekasi,588000000,453000000.0,431000000,0.732993197,0.951434879,120,16700000.0,0.21506986,1,Karyawan Tetap,0,68.8,Transfer Manual,24.0,HGB,Lancar,0,0.38938120420564,0,1,0,1,1
PBI-000065,542,Rumah Tapak,Bekasi,1294000000,985000000.0,1092000000,0.8438949,1.108629442,180,35900000.0,0.168987929,1,Wiraswasta,3,33.1,Auto-Debit,14.0,SHM,Menunggak,1,0.8200906872753466,1,0,1,0,0
PBI-000066,686,Apartemen,Tangerang (BSD/Serpong),1066000000,821000000.0,829000000,0.777673546,1.009744214,60,,#DIV/0!,3,Wiraswasta,0,38.5,Virtual Account,11.0,SHM,DPK,0,0.35505530107975997,0,0,0,0,1
PBI-000067,583,Rumah Tapak,Jakarta Selatan,1158000000,1155000000.0,888000000,0.766839378,0.768831169,84,14700000.0,0.719144801,4,Karyawan Tetap,0,61.8,Transfer Manual,18.0,SHM,Lancar,0,0.367275624866316,0,0,1,1,1
PBI-000068,672,Tanah Kavling,Depok,716000000,680000000.0,539000000,0.752793296,0.792647059,120,12600000.0,0.356481481,3,Karyawan Tetap,0,23.9,Transfer Manual,3.0,SHM,Lancar,0,0.2104805817004888,0,0,0,0,1
PBI-000069,609,Ruko-Komersial,Jakarta Selatan,1257000000,1195000000.0,1037000000,0.824980111,0.867782427,120,20100000.0,0.429933665,0,Profesional,0,26.0,Auto-Debit,19.0,SHM,Lancar,0,0.3411978782853237,0,0,1,0,1
PBI-000070,643,Tanah Kavling,Bogor,707000000,,532000000,0.752475248,#DIV/0!,240,33600000.0,0.065972222,4,Wiraswasta,1,45.3,Auto-Debit,15.0,HGB,Lancar,0,0.19481208996963786,0,1,1,0,0
PBI-000071,664,Ruko-Komersial,Depok,1155000000,1143000000.0,870000000,0.753246753,0.761154856,180,25800000.0,0.187338501,1,Karyawan Tetap,1,4.9,Auto-Debit,9.0,SHM,Lancar,0,0.2680076499210959,0,0,0,0,1
PBI-000072,722,Apartemen,Jakarta Selatan,832000000,824000000.0,598000000,0.71875,0.725728155,240,28600000.0,0.087121212,3,Wiraswasta,0,54.4,Auto-Debit,28.0,SHM,Lancar,0,0.1647591088539843,0,0,0,1,0
PBI-000073,613,Apartemen,Jakarta Selatan,474000000,,369000000,0.778481013,#DIV/0!,120,12100000.0,0.254132231,3,Karyawan Tetap,2,44.2,Transfer Manual,30.0,SHM,Lancar,0,0.11946597048596676,0,0,1,0,1
PBI-000074,423,Apartemen,Depok,1301000000,1261000000.0,1091000000,0.838585703,0.86518636,120,,#DIV/0!,2,Karyawan Tetap,0,3.3,Auto-Debit,17.0,SHM,DPK,0,0.5510795132514503,1,0,1,0,1
PBI-000075,579,Apartemen,Depok,992000000,968000000.0,837000000,0.84375,0.864669421,240,42600000.0,0.081866197,2,Wiraswasta,0,0.0,Transfer Manual,2.0,SHM,Lancar,0,0.3155246449274788,0,0,1,0,0
PBI-000076,671,Apartemen,Depok,1468000000,1437000000.0,1247000000,0.849455041,0.867780097,120,,#DIV/0!,0,Profesional,0,31.2,Auto-Debit,12.0,SHM,Lancar,0,0.2706077307009939,0,0,0,0,1
PBI-000077,760,Rumah Tapak,Depok,1725000000,,1330000000,0.771014493,#DIV/0!,120,46100000.0,0.240419378,5,Wiraswasta,0,34.9,Auto-Debit,15.0,HGB,Lancar,0,0.42818966073407483,0,1,0,0,0
PBI-000078,685,Rumah Tapak,Jakarta Selatan,1798000000,1720000000.0,1468000000,0.816462736,0.853488372,120,,#DIV/0!,0,Karyawan Tetap,0,76.2,Virtual Account,12.0,HGB,Lancar,0,0.3182988751517742,0,1,0,1,1
PBI-000079,745,Tanah Kavling,Bekasi,361000000,303000000.0,283000000,0.783933518,0.933993399,180,38900000.0,0.040417024,4,Profesional,0,97.6,Virtual Account,,SHM,Lancar,0,0.3263459137400028,0,0,0,1,0
PBI-000080,673,Ruko-Komersial,Jakarta Selatan,2134000000,2076000000.0,1669000000,0.782099344,0.803949904,180,24400000.0,0.380009107,1,Karyawan Tetap,5,23.8,Virtual Account,26.0,SHM,Lancar,0,0.4865031162041301,0,0,0,0,1
PBI-000081,679,Tanah Kavling,Bogor,545000000,526000000.0,447000000,0.820183486,0.849809886,180,45300000.0,0.05481972,2,Profesional,3,23.7,Virtual Account,12.0,SHM,Lancar,0,0.4644948296184705,0,0,0,0,0
PBI-000082,639,Apartemen,Tangerang (BSD/Serpong),986000000,695000000.0,814000000,0.825557809,1.171223022,120,29800000.0,0.227628635,3,Karyawan Tetap,0,80.7,Transfer Manual,21.0,HGB,Menunggak,1,0.6053411511396646,1,1,1,1,0
PBI-000083,749,Apartemen,Bekasi,740000000,547000000.0,520000000,0.702702703,0.950639854,120,14000000.0,0.30952381,4,Karyawan Tetap,0,54.4,Virtual Account,,HGB,Lancar,0,0.26399836053220366,0,1,0,1,1
PBI-000084,800,Rumah Tapak,Jakarta Selatan,562000000,547000000.0,473000000,0.841637011,0.864716636,240,,#DIV/0!,3,Wiraswasta,1,100.0,Transfer Manual,21.0,HGB,Lancar,0,0.3346664259321995,0,1,0,1,1
PBI-000085,578,Apartemen,Bekasi,1179000000,867000000.0,971000000,0.823579304,1.119953864,240,23600000.0,0.171433616,0,Karyawan Tetap,0,39.6,Virtual Account,29.0,SHM,Menunggak,1,0.58820763820946,1,0,1,0,1
PBI-000086,679,Apartemen,Bekasi,1462000000,1024000000.0,1182000000,0.808481532,1.154296875,60,10900000.0,1.80733945,2,Wiraswasta,5,69.6,Auto-Debit,,SHM,Menunggak,1,0.7848058358658938,1,0,0,1,1
PBI-000087,559,Apartemen,Depok,986000000,942000000.0,816000000,0.827586207,0.866242038,120,11700000.0,0.581196581,2,Wiraswasta,2,100.0,Virtual Account,,SHM,Menunggak,1,0.7468693762257366,1,0,1,1,1
PBI-000088,802,Apartemen,Tangerang (BSD/Serpong),763000000,638000000.0,596000000,0.78112713,0.934169279,120,23000000.0,0.215942029,5,Karyawan Tetap,4,14.3,Transfer Manual,16.0,HGB,Lancar,0,0.3501945740938344,0,1,0,0,1
PBI-000089,675,Rumah Tapak,Bogor,1720000000,,1404000000,0.81627907,#DIV/0!,180,16400000.0,0.475609756,2,Wiraswasta,2,20.9,Auto-Debit,11.0,HGB,Lancar,0,0.7533560744498676,1,1,0,0,1
PBI-000090,658,Rumah Tapak,Tangerang (BSD/Serpong),974000000,,769000000,0.789527721,#DIV/0!,120,30500000.0,0.21010929,1,Karyawan Tetap,0,55.5,Auto-Debit,4.0,SHM,DPK,0,0.38294147913695326,0,0,1,1,0
PBI-000091,563,Rumah Tapak,Jakarta Selatan,1689000000,1632000000.0,1320000000,0.781527531,0.808823529,60,16400000.0,1.341463415,1,Karyawan Tetap,1,43.8,Virtual Account,14.0,HGB,Lancar,0,0.5400252537106404,1,1,1,0,1
PBI-000092,641,Rumah Tapak,Depok,1612000000,1578000000.0,1180000000,0.732009926,0.747782003,180,37700000.0,0.173887415,4,Profesional,0,48.9,Auto-Debit,1.0,HGB,Lancar,0,0.25340406179678365,0,1,1,1,0
PBI-000093,654,Rumah Tapak,Depok,1187000000,1168000000.0,982000000,0.827295703,0.840753425,120,16700000.0,0.49001996,1,Profesional,1,25.9,Virtual Account,13.0,SHM,Lancar,0,0.3914733027005956,0,0,1,0,1
PBI-000094,569,Apartemen,Tangerang (BSD/Serpong),1145000000,866000000.0,953000000,0.83231441,1.100461894,120,20100000.0,0.395107794,2,Karyawan Tetap,3,44.2,Auto-Debit,21.0,HGB,Menunggak,1,0.8067680654351456,1,1,1,0,1
PBI-000095,673,Apartemen,Depok,1170000000,1146000000.0,989000000,0.845299145,0.863001745,60,42000000.0,0.392460317,3,Wiraswasta,2,35.9,Auto-Debit,18.0,SHM,Lancar,0,0.4698042276776842,0,0,0,0,0
PBI-000096,587,Apartemen,Tangerang (BSD/Serpong),1105000000,874000000.0,793000000,0.717647059,0.907322654,240,29800000.0,0.110878076,4,Karyawan Tetap,3,58.5,Auto-Debit,10.0,SHM,DPK,0,0.711589839472535,1,0,1,1,0
PBI-000097,697,Ruko-Komersial,Tangerang (BSD/Serpong),1154000000,836000000.0,858000000,0.743500867,1.026315789,180,37500000.0,0.127111111,0,Wiraswasta,0,68.5,Auto-Debit,28.0,SHM,Lancar,0,0.4064362354054737,0,0,0,1,0
PBI-000098,576,Ruko-Komersial,Bekasi,2324000000,1865000000.0,1866000000,0.80292599,1.000536193,120,22100000.0,0.70361991,3,Profesional,0,7.4,Transfer Manual,24.0,SHM,DPK,0,0.4383667170319039,0,0,1,0,1
PBI-000099,673,Rumah Tapak,Jakarta Selatan,504000000,488000000.0,417000000,0.827380952,0.854508197,180,19100000.0,0.121291449,4,Karyawan Tetap,1,76.7,Transfer Manual,,HGB,Lancar,0,0.47580346816677255,0,1,0,1,1
PBI-000100,644,Apartemen,Jakarta Selatan,1181000000,1129000000.0,960000000,0.812870449,0.850310009,120,22000000.0,0.363636364,3,Profesional,1,45.7,Auto-Debit,,SHM,Lancar,0,0.45632262325710427,0,0,1,1,1
PBI-000101,686,Rumah Tapak,Jakarta Selatan,1221000000,1183000000.0,938000000,0.768222768,0.792899408,180,18800000.0,0.277186761,3,Karyawan Tetap,2,68.7,Auto-Debit,13.0,SHM,Lancar,0,0.4558827867349817,0,0,0,1,1
PBI-000102,674,Rumah Tapak,Tangerang (BSD/Serpong),838000000,650000000.0,678000000,0.809069212,1.043076923,84,23500000.0,0.343465046,2,Karyawan Tetap,0,40.6,Auto-Debit,15.0,SHM,DPK,0,0.3975780702344136,0,0,0,0,1
PBI-000103,668,Rumah Tapak,Bekasi,1545000000,1305000000.0,1098000000,0.710679612,0.84137931,60,,#DIV/0!,3,Profesional,0,72.2,Virtual Account,1.0,SHM,Lancar,0,0.3258164085507486,0,0,0,1,1
PBI-000104,597,Rumah Tapak,Tangerang (BSD/Serpong),1027000000,768000000.0,821000000,0.799415774,1.069010417,180,41300000.0,0.110438526,2,Wiraswasta,2,66.9,Auto-Debit,4.0,SHM,Menunggak,1,0.7671958963647866,1,0,1,1,0
PBI-000105,707,Rumah Tapak,Bogor,1132000000,1076000000.0,794000000,0.701413428,0.737918216,84,16100000.0,0.587104407,2,Karyawan Tetap,2,55.3,Auto-Debit,11.0,SHM,Lancar,0,0.3503315274315818,0,0,0,1,1
PBI-000106,684,Rumah Tapak,Jakarta Selatan,536000000,514000000.0,379000000,0.707089552,0.737354086,180,26900000.0,0.078273441,2,Wiraswasta,0,46.1,Auto-Debit,9.0,SHM,Lancar,0,0.19639079340250748,0,0,0,1,0
PBI-000107,714,Ruko-Komersial,Bekasi,1683000000,1270000000.0,1369000000,0.813428402,1.077952756,120,26100000.0,0.437100894,3,Karyawan Tetap,3,58.0,Virtual Account,,HGB,Menunggak,1,0.6444235596180616,1,1,0,1,1
PBI-000108,658,Apartemen,Depok,584000000,570000000.0,451000000,0.772260274,0.79122807,120,32300000.0,0.116357069,2,Karyawan Tetap,0,93.3,Auto-Debit,12.0,HGB,Lancar,0,0.335151367082151,0,1,1,1,0
